Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels
haircare,SKU0,69.808006,55,802,8661.996792,Non-binary,58
skincare,SKU1,14.843523,95,736,7460.900065,Female,53
haircare,SKU2,11.319683,34,8,9577.749626,Unknown,1
skincare,SKU3,61.163343,68,83,7766.836426,Non-binary,23
skincare,SKU4,4.805496,26,871,2686.505152,Non-binary,5
haircare,SKU5,1.699976,87,147,2828.348746,Non-binary,90
skincare,SKU6,4.078333,48,65,7823.47656,Male,11
cosmetics,SKU7,42.958384,59,426,8496.103813,Female,93
cosmetics,SKU8,68.717597,78,150,7517.363211,Female,5
skincare,SKU9,64.015733,35,980,4971.145988,Unknown,14
skincare,SKU10,15.707796,11,996,2330.965802,Non-binary,51
skincare,SKU11,90.63546,95,960,6099.944116,Female,46
haircare,SKU12,71.213389,41,336,2873.741446,Unknown,100
skincare,SKU13,16.160393,5,249,4052.738416,Male,80
skincare,SKU14,99.171329,26,562,8653.570926,Non-binary,54
skincare,SKU15,36.989245,94,469,5442.086785,Non-binary,9
skincare,SKU16,7.547172,74,280,6453.797968,Female,2
cosmetics,SKU17,81.462534,82,126,2629.396435,Female,45
haircare,SKU18,36.443628,23,620,9364.673505,Unknown,10
skincare,SKU19,51.12387,100,187,2553.495585,Unknown,48
skincare,SKU20,96.341072,22,320,8128.027697,Unknown,27
cosmetics,SKU21,84.893869,60,601,7087.052696,Unknown,69
haircare,SKU22,27.679781,55,884,2390.807867,Unknown,71
cosmetics,SKU23,4.324341,30,391,8858.367571,Unknown,84
haircare,SKU24,4.156308,32,209,9049.077861,Male,4
haircare,SKU25,39.629344,73,142,2174.777054,Male,82
haircare,SKU26,97.446947,9,353,3716.493326,Male,59
cosmetics,SKU27,92.557361,42,352,2686.457224,Unknown,47
cosmetics,SKU28,2.397275,12,394,6117.324615,Female,48
cosmetics,SKU29,63.447559,3,253,8318.903195,Female,45
